flight,date,time
AAL640,2020-07-17,00:00:03
ASI687,2020-07-17,00:00:03
N266RD,2020-07-17,00:00:03
DAL3130,2020-07-17,00:00:03
N7176S,2020-07-17,00:02:03
MVJ700,2020-07-17,00:04:03
DAL1217,2020-07-17,00:05:02
MVJ89,2020-07-17,00:06:02
N505MP,2020-07-17,00:10:02
FFT1274,2020-07-17,00:21:02
AAL340,2020-07-17,00:25:03
N608CF,2020-07-17,00:27:02
N617MM,2020-07-17,00:44:02
N868PE,2020-07-17,00:46:03
N5DM,2020-07-17,00:47:02
NKS972,2020-07-17,00:51:02
N420GA,2020-07-17,01:05:02
N357FB,2020-07-17,01:06:03
N952SC,2020-07-17,01:16:02
GTI3707,2020-07-17,01:16:02
ATN3204,2020-07-17,01:31:02
UAL1766,2020-07-17,01:48:02
FDX1105,2020-07-17,01:58:02
FDX2590,2020-07-17,02:02:02
CTA306,2020-07-17,02:10:03
AAL2424,2020-07-17,02:18:02
N54DD,2020-07-17,02:24:02
UPS930,2020-07-17,02:42:02
FDX1151,2020-07-17,02:47:02
N83CM,2020-07-17,02:50:02
N911AL,2020-07-17,03:10:02
UPS850,2020-07-17,03:12:02
UPS920,2020-07-17,03:18:02
UPS860,2020-07-17,03:27:02
UPS888,2020-07-17,03:33:03
UPS856,2020-07-17,03:38:03
FDX1404,2020-07-17,03:43:02
UPS922,2020-07-17,03:47:02
UPS858,2020-07-17,03:54:02
N600MV,2020-07-17,03:54:02
N880GT,2020-07-17,03:56:02
FDX1865,2020-07-17,03:59:02
N770VF,2020-07-17,04:07:02
FDX1748,2020-07-17,04:13:02
ATN3247,2020-07-17,04:32:02
ATN3271,2020-07-17,04:45:02
UPS2867,2020-07-17,04:47:02
AAL102,2020-07-17,04:52:02
FDX1422,2020-07-17,05:06:02
AAL1732,2020-07-17,05:07:02
FDX600,2020-07-17,05:07:02
UPS2859,2020-07-17,05:10:02
AAL832,2020-07-17,05:12:03
FDX431,2020-07-17,05:12:03
N270MM,2020-07-17,05:26:03
N108ND,2020-07-17,05:26:03
AAL2765,2020-07-17,05:29:02
FDX499,2020-07-17,05:30:03
N927TA,2020-07-17,05:31:03
FDX1403,2020-07-17,05:31:03
N87BC,2020-07-17,05:31:03
N776X,2020-07-17,05:33:03
N2837X,2020-07-17,05:41:02
NDU634,2020-07-17,05:42:03
N72266,2020-07-17,05:42:03
N98774,2020-07-17,05:53:02
N186WW,2020-07-17,05:54:03
N194TD,2020-07-17,05:55:02
ASI402,2020-07-17,05:56:03
N407NA,2020-07-17,05:57:02
N45HY,2020-07-17,05:57:02
00000000,2020-07-17,05:59:02
N776SC,2020-07-17,06:00:03
UPS2887,2020-07-17,06:00:03
N125HD,2020-07-17,06:00:03
FDX428,2020-07-17,06:03:02
N747SC,2020-07-17,06:05:02
NKS867,2020-07-17,06:06:02
FFT750,2020-07-17,06:07:03
SKW3956,2020-07-17,06:08:02
N4022W,2020-07-17,06:08:02
AAY574,2020-07-17,06:09:03
OXF371,2020-07-17,06:11:02
DAL786,2020-07-17,06:11:02
SWA439,2020-07-17,06:12:02
N955JA,2020-07-17,06:13:02
AAL1112,2020-07-17,06:13:02
N148JB,2020-07-17,06:13:02
N1760T,2020-07-17,06:15:02
ABX505,2020-07-17,06:15:02
AAY559,2020-07-17,06:16:02
