flight,date,time
FFT1598,2020-07-04,00:00:03
AAL782,2020-07-04,00:00:03
ASI919,2020-07-04,00:00:03
DAL1217,2020-07-04,00:05:02
N587AE,2020-07-04,00:05:02
AAL2054,2020-07-04,00:12:02
N83PM,2020-07-04,00:12:02
N399WS,2020-07-04,00:13:02
AAY322,2020-07-04,00:36:02
N4402T,2020-07-04,00:37:02
N1076K,2020-07-04,00:38:02
AAY587,2020-07-04,00:41:02
AAL340,2020-07-04,00:42:02
NKS972,2020-07-04,00:52:02
ASI230,2020-07-04,00:56:03
N357FB,2020-07-04,01:04:02
N551AM,2020-07-04,01:05:02
AAL599,2020-07-04,01:12:02
AAL1414,2020-07-04,01:23:02
FFT1274,2020-07-04,01:26:03
N351FB,2020-07-04,01:32:02
CPA086,2020-07-04,01:37:02
UAL1766,2020-07-04,01:52:02
CTA306,2020-07-04,02:15:03
JLG45,2020-07-04,02:47:03
N311VM,2020-07-04,03:06:02
AAL102,2020-07-04,04:50:02
OXF1820,2020-07-04,05:00:02
OXF1640,2020-07-04,05:01:02
N65453,2020-07-04,05:18:02
N124UV,2020-07-04,05:21:03
AAL698,2020-07-04,05:30:03
N420GA,2020-07-04,05:32:03
N172FK,2020-07-04,05:35:02
ASI687,2020-07-04,05:36:02
OXF767,2020-07-04,05:45:02
N15XL,2020-07-04,05:46:02
N210HD,2020-07-04,05:49:03
CFOEG,2020-07-04,05:56:02
N7400A,2020-07-04,06:00:02
N747SC,2020-07-04,06:03:02
N1754T,2020-07-04,06:04:03
N70846,2020-07-04,06:07:02
N282TW,2020-07-04,06:09:02
DAL786,2020-07-04,06:09:02
N814SE,2020-07-04,06:09:02
N14306,2020-07-04,06:10:02
AAY577,2020-07-04,06:10:02
FFT750,2020-07-04,06:11:02
N83182,2020-07-04,06:12:02
SWA439,2020-07-04,06:13:02
SKW3956,2020-07-04,06:15:02
N98774,2020-07-04,06:16:02
SWA6877,2020-07-04,06:16:02
AAY607,2020-07-04,06:16:02
N72677,2020-07-04,06:16:02
NKS867,2020-07-04,06:16:02
N662G,2020-07-04,06:20:02
HGT1514,2020-07-04,06:20:02
OXF1910,2020-07-04,06:22:03
SWA463,2020-07-04,06:22:03
N753SC,2020-07-04,06:23:02
N5982M,2020-07-04,06:23:02
N776SC,2020-07-04,06:24:02
ASI907,2020-07-04,06:25:02
SWA8660,2020-07-04,06:26:03
N72YX,2020-07-04,06:27:02
N8822P,2020-07-04,06:27:02
N413JH,2020-07-04,06:28:03
N21714,2020-07-04,06:29:02
WSN6,2020-07-04,06:29:02
OXF652,2020-07-04,06:29:02
AAY2461,2020-07-04,06:29:02
N77LA,2020-07-04,06:31:02
N2464D,2020-07-04,06:32:02
ASI155,2020-07-04,06:33:02
ASI726,2020-07-04,06:34:02
N63KA,2020-07-04,06:36:02
N6510Y,2020-07-04,06:36:02
AAY384,2020-07-04,06:37:02
OXF324,2020-07-04,06:40:02
ASI414,2020-07-04,06:40:02
DAL1085,2020-07-04,06:41:03
N324SK,2020-07-04,06:42:02
N12KC,2020-07-04,06:46:02
N28421,2020-07-04,06:46:02
AAY612,2020-07-04,06:46:02
N11CW,2020-07-04,06:46:02
N9793E,2020-07-04,06:47:02
N287WM,2020-07-04,06:49:03
ASI164,2020-07-04,06:49:03
N414WM,2020-07-04,06:49:03
N796WW,2020-07-04,06:49:03
AAY631,2020-07-04,06:50:02
AAL1295,2020-07-04,06:50:02
DAL2580,2020-07-04,06:50:02
CKS362,2020-07-04,06:50:02
N6513D,2020-07-04,06:51:03
OXF685,2020-07-04,06:51:03
OXF663,2020-07-04,06:51:03
N49LJ,2020-07-04,06:52:02
OXF447,2020-07-04,06:52:02
N421JC,2020-07-04,06:52:02
SWA899,2020-07-04,06:55:02
SWA1529,2020-07-04,06:55:02
OXF844,2020-07-04,06:55:02
EJA551,2020-07-04,06:56:02
AAL1154,2020-07-04,06:56:02
AAH710,2020-07-04,06:56:02
N75600,2020-07-04,06:57:03
N505HP,2020-07-04,06:58:02
OXF641,2020-07-04,06:58:02
SWA655,2020-07-04,06:58:02
XOJ552,2020-07-04,06:59:03
N562SA,2020-07-04,07:00:02
ASI780,2020-07-04,07:00:02
NKS531,2020-07-04,07:01:02
N5534N,2020-07-04,07:01:02
N983JA,2020-07-04,07:02:02
N68AW,2020-07-04,07:02:02
N5980U,2020-07-04,07:03:02
N457MS,2020-07-04,07:04:02
NKS955,2020-07-04,07:04:02
AAL896,2020-07-04,07:05:02
OXF674,2020-07-04,07:05:02
SWA126,2020-07-04,07:06:02
N828WW,2020-07-04,07:06:02
SKW3029,2020-07-04,07:06:02
