flight,date,time
SWR9K,2020-12-02,00:00:03
EVA031,2020-12-02,00:01:02
SOO3646,2020-12-02,00:09:02
CJT588,2020-12-02,00:13:02
WIS380,2020-12-02,00:31:03
WIS300,2020-12-02,00:49:02
N207K,2020-12-02,00:49:02
QTR8142,2020-12-02,01:21:02
UPS1026,2020-12-02,01:24:02
IFL521,2020-12-02,01:29:03
JBU988,2020-12-02,01:31:02
RAX777,2020-12-02,01:39:02
N874LM,2020-12-02,01:40:02
QTR8185,2020-12-02,01:43:02
DAL555,2020-12-02,02:00:03
DAL544,2020-12-02,02:02:02
AAL4,2020-12-02,02:05:02
DAL766,2020-12-02,02:12:02
AAL276,2020-12-02,02:15:02
UPS1038,2020-12-02,02:20:02
UPS558,2020-12-02,02:26:02
JBU888,2020-12-02,02:28:02
UPS1126,2020-12-02,02:30:02
NKS334,2020-12-02,02:39:02
DAL1276,2020-12-02,02:43:02
UPS1488,2020-12-02,02:45:02
UPS9749,2020-12-02,02:49:02
UPS1476,2020-12-02,02:50:03
UPS1076,2020-12-02,02:51:02
DAL511,2020-12-02,02:53:02
UPS1028,2020-12-02,02:55:02
DAL821,2020-12-02,02:55:02
NKS760,2020-12-02,02:58:02
JBU602,2020-12-02,02:58:02
AZG1786,2020-12-02,03:02:03
WJA724,2020-12-02,03:05:02
DAL694,2020-12-02,03:06:02
DAL300,2020-12-02,03:06:02
DAL550,2020-12-02,03:06:02
DAL569,2020-12-02,03:08:02
NKS1168,2020-12-02,03:08:02
NKS709,2020-12-02,03:09:02
UAL141,2020-12-02,03:10:02
DAL412,2020-12-02,03:17:02
DAL520,2020-12-02,03:18:03
DAL950,2020-12-02,03:20:03
FRG1050,2020-12-02,03:21:02
NKS184,2020-12-02,03:28:02
UAL1165,2020-12-02,03:31:03
FFT2016,2020-12-02,03:37:02
N979TB,2020-12-02,04:05:02
AAL1310,2020-12-02,04:07:02
DAL1784,2020-12-02,04:10:02
FDX1950,2020-12-02,04:11:02
JBU1424,2020-12-02,04:12:02
UAL1796,2020-12-02,04:12:02
DAL692,2020-12-02,04:12:02
DAL379,2020-12-02,04:22:02
DAL807,2020-12-02,04:22:02
AAL344,2020-12-02,04:22:02
JIA5092,2020-12-02,04:34:03
DAL1791,2020-12-02,04:39:03
SKW3778,2020-12-02,04:49:03
N880VJ,2020-12-02,04:49:03
UPS9701,2020-12-02,04:51:03
ETH574,2020-12-02,04:54:02
JBU1616,2020-12-02,04:54:02
FDX1536,2020-12-02,04:56:02
DAL284,2020-12-02,04:59:02
AJI9299,2020-12-02,05:02:02
N8HT,2020-12-02,05:05:02
ENY4150,2020-12-02,05:06:03
DAL1604,2020-12-02,05:07:02
DAL158,2020-12-02,05:09:02
AAL168,2020-12-02,05:13:02
SNC1470,2020-12-02,05:14:02
SKW4330,2020-12-02,05:16:02
ENY3888,2020-12-02,05:16:02
RPA4568,2020-12-02,05:18:02
JUS192,2020-12-02,05:18:02
ENY3992,2020-12-02,05:19:02
RPA4727,2020-12-02,05:20:02
ENY3723,2020-12-02,05:22:02
KAP904,2020-12-02,05:24:03
RPA4804,2020-12-02,05:24:03
PDT6183,2020-12-02,05:28:03
RPA4716,2020-12-02,05:28:03
UAL1682,2020-12-02,05:29:02
AAL604,2020-12-02,05:29:02
CRE43,2020-12-02,05:30:03
AWI3732,2020-12-02,05:32:02
AMF1690,2020-12-02,05:35:02
N202FF,2020-12-02,05:36:03
SWA3317,2020-12-02,05:37:02
N785MA,2020-12-02,05:38:02
NKS1300,2020-12-02,05:40:02
SKW2981,2020-12-02,05:41:02
AAL1057,2020-12-02,05:43:02
AAL2267,2020-12-02,05:44:02
ANA102,2020-12-02,05:46:03
UAL580,2020-12-02,05:46:03
RPA3430,2020-12-02,05:48:03
UAL774,2020-12-02,05:48:03
EJA310,2020-12-02,05:49:02
UAL761,2020-12-02,05:49:02
N6851X,2020-12-02,05:50:03
AWI3768,2020-12-02,05:54:03
RPA3511,2020-12-02,05:55:02
RPA3642,2020-12-02,05:56:03
SKW3080,2020-12-02,05:57:02
SKW5279,2020-12-02,06:00:03
SWA2810,2020-12-02,06:00:03
FRG1570,2020-12-02,06:00:03
N5293J,2020-12-02,06:02:02
N601MA,2020-12-02,06:03:02
GJS4426,2020-12-02,06:06:02
GJS4382,2020-12-02,06:07:02
AMF1306,2020-12-02,06:07:02
RPA4692,2020-12-02,06:07:02
EDV4682,2020-12-02,06:08:02
MRA605,2020-12-02,06:09:02
AMF1098,2020-12-02,06:10:02
SKW3805,2020-12-02,06:10:02
FTD557,2020-12-02,06:10:02
N12JD,2020-12-02,06:11:03
N489TM00,2020-12-02,06:13:03
DAL2014,2020-12-02,06:13:03
N737KW,2020-12-02,06:14:02
N9442N,2020-12-02,06:14:02
N390SM,2020-12-02,06:14:02
EJA506,2020-12-02,06:14:02
UAL635,2020-12-02,06:15:03
N403ND,2020-12-02,06:17:03
AMF1022,2020-12-02,06:18:02
N1130B,2020-12-02,06:18:02
SKW5958,2020-12-02,06:18:02
AMF1090,2020-12-02,06:19:03
HDM02,2020-12-02,06:19:03
UAL566,2020-12-02,06:19:03
RPA3667,2020-12-02,06:20:02
EDV4889,2020-12-02,06:21:02
EJA796,2020-12-02,06:22:02
N765M,2020-12-02,06:23:02
